count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez
66,0.020000,0.000000,-7.905249,0.000000,-5.000000,4.552381,-7.000000,-5.000000,4.514286,-7.000000,0.000000,-1.000000,0.000000
67,0.020000,0.000000,-7.905260,0.000000,-5.000000,4.590476,-7.000000,-5.000000,4.552381,-7.000000,0.000000,-1.000000,0.000000
68,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.628572,-7.000000,-5.000000,4.590476,-7.000000,0.000000,-1.000000,0.000000
69,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.666667,-7.000000,-5.000000,4.628572,-7.000000,0.000000,-1.000000,0.000000
70,0.020000,0.000000,-7.905249,0.000000,-5.000000,4.704762,-7.000000,-5.000000,4.666667,-7.000000,0.000000,-1.000000,0.000000
71,0.020000,0.000000,-7.905249,0.000000,-5.000000,4.742857,-7.000000,-5.000000,4.704762,-7.000000,0.000000,-1.000000,0.000000
72,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.780952,-7.000000,-5.000000,4.742857,-7.000000,0.000000,-1.000000,0.000000
73,0.020000,0.000000,-7.905236,0.000000,-5.000000,4.819048,-7.000000,-5.000000,4.780952,-7.000000,0.000000,-1.000000,0.000000
74,0.020000,0.000000,-7.905249,0.000000,-5.000000,4.857143,-7.000000,-5.000000,4.819048,-7.000000,0.000000,-1.000000,0.000000
75,0.020000,0.000000,-7.905249,0.000000,-5.000000,4.895238,-7.000000,-5.000000,4.857143,-7.000000,0.000000,-1.000000,0.000000
76,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.933333,-7.000000,-5.000000,4.895238,-7.000000,0.000000,-1.000000,0.000000
77,0.020000,0.000000,-7.905225,0.000000,-5.000000,4.971429,-7.000000,-5.000000,4.933333,-7.000000,0.000000,-1.000000,0.000000
78,0.020000,0.000000,-7.905249,0.000000,-5.000000,5.009524,-7.000000,-5.000000,4.971429,-7.000000,0.000000,-1.000000,0.000000
