count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez
23,0.020000,-2.000003,-9.810000,0.000000,1.040000,4.000000,-7.000000,1.080000,4.000000,-7.000000,0.000000,-1.000000,0.000000
24,0.020000,-1.999997,-9.810000,0.000000,1.000000,4.000000,-7.000000,1.040000,4.000000,-7.000000,0.000000,-1.000000,0.000000
25,0.020000,-2.000000,-9.810000,0.000000,0.960000,4.000000,-7.000000,1.000000,4.000000,-7.000000,0.000000,-1.000000,0.000000
26,0.020000,-2.000000,-9.810000,0.000000,0.920000,4.000000,-7.000000,0.960000,4.000000,-7.000000,0.000000,-1.000000,0.000000
27,0.020000,-1.999994,-9.810000,0.000000,0.880000,4.000000,-7.000000,0.920000,4.000000,-7.000000,0.000000,-1.000000,0.000000
28,0.020000,-2.000000,-9.810000,0.000000,0.840000,4.000000,-7.000000,0.880000,4.000000,-7.000000,0.000000,-1.000000,0.000000
29,0.020000,-2.000000,-9.810000,0.000000,0.800000,4.000000,-7.000000,0.840000,4.000000,-7.000000,0.000000,-1.000000,0.000000
30,0.020000,-1.999994,-9.810000,0.000000,0.760000,4.000000,-7.000000,0.800000,4.000000,-7.000000,0.000000,-1.000000,0.000000
31,0.020000,-2.000000,-9.810000,0.000000,0.720000,4.000000,-7.000000,0.760000,4.000000,-7.000000,0.000000,-1.000000,0.000000
32,0.020000,-2.000000,-9.810000,0.000000,0.680000,4.000000,-7.000000,0.720000,4.000000,-7.000000,0.000000,-1.000000,0.000000
33,0.020000,-1.999994,-9.810000,0.000000,0.640000,4.000000,-7.000000,0.680000,4.000000,-7.000000,0.000000,-1.000000,0.000000
34,0.020000,-2.000000,-9.810000,0.000000,0.600000,4.000000,-7.000000,0.640000,4.000000,-7.000000,0.000000,-1.000000,0.000000
35,0.020000,-2.000000,-9.810000,0.000000,0.560000,4.000000,-7.000000,0.600000,4.000000,-7.000000,0.000000,-1.000000,0.000000
36,0.020000,-1.999994,-9.810000,0.000000,0.520000,4.000000,-7.000000,0.560000,4.000000,-7.000000,0.000000,-1.000000,0.000000
37,0.020000,-2.000000,-9.810000,0.000000,0.480000,4.000000,-7.000000,0.520000,4.000000,-7.000000,0.000000,-1.000000,0.000000
38,0.020000,-2.000000,-9.810000,0.000000,0.440000,4.000000,-7.000000,0.480000,4.000000,-7.000000,0.000000,-1.000000,0.000000
39,0.020000,-2.000000,-9.810000,0.000000,0.400001,4.000000,-7.000000,0.440000,4.000000,-7.000000,0.000000,-1.000000,0.000000
40,0.020000,-1.999994,-9.810000,0.000000,0.360001,4.000000,-7.000000,0.400001,4.000000,-7.000000,0.000000,-1.000000,0.000000
41,0.020000,-2.000000,-9.810000,0.000000,0.320001,4.000000,-7.000000,0.360001,4.000000,-7.000000,0.000000,-1.000000,0.000000
42,0.020000,-2.000000,-9.810000,0.000000,0.280001,4.000000,-7.000000,0.320001,4.000000,-7.000000,0.000000,-1.000000,0.000000
43,0.020000,-1.999994,-9.810000,0.000000,0.240001,4.000000,-7.000000,0.280001,4.000000,-7.000000,0.000000,-1.000000,0.000000
44,0.020000,-2.000000,-9.810000,0.000000,0.200001,4.000000,-7.000000,0.240001,4.000000,-7.000000,0.000000,-1.000000,0.000000
